start,end,text
0,7180,"お答えになります 私 レゾナーゲート の吉野と申します"
7180,10400,"吉野/お答えになります よろしくお願いいたします"
10400,14320,"お時間をご調査いただきました ありがとうございました"
14320,15960,"吉野/ありがとうございます"
15960,20640,"さすがに今回ご応募いただいたお仕事 をご紹介できればと思うんですけれども"
20640,26080,"お仕事の詳細メールでも弊社の 編集者からメールで送りさせて"
26080,30440,"いただきましたのでそちらも合わせて ご確認いただければと思います"
30440,32480,"吉野/はい わかりました"
32480,36400,"森/はい 篠原さんは今 外とかにい らっしゃる感じですかね"
36400,39600,"篠原/すみません 今日なんですけど 大丈夫ですか"
39600,41960,"森/あ 無事かも 大丈夫ですか いただいた と思います"
41960,45680,"篠原/私は大丈夫なんですけど 森/すみません ありがとうございます"
45680,48240,"篠原/声がつらかったら 教えてください"
48240,53660,"森/すみません ありがとうございます 早速 今回のお仕事をご紹介できれば"
53660,60760,"と思いますが 今回のお仕事 まずは 会社様がスターティアホールディングス"
60760,67340,"株式会社という会社様でのお仕事 でございまして こちらの会社様"
67340,74040,"がITの企業様になっているんです けれども 今回はこちらの会社様"
74040,81980,"で 裁量のポジションを担当する 業務になっております 主な業務"
81980,87760,"の内容に関しては 親属の対応と 中途採用の業務をお願いしている"
87760,94360,"ような形になりまして 親属採用 の業務に関しては 応募者の方の"
94360,99800,"一次面接でしたりとか 二次面接 だったりとかの面接日程の枠の"
99800,105600,"作成でしたりとか またその枠にとって 日程のご調整をしていただく"
105600,112220,"というところをお願いしております その他 そこの調整までの連絡の"
112220,117780,"やりとりでしたりとか 当日の欠席の 連絡だったりとか あとは内定が"
117780,122220,"出たかたいの 内定2といったところ の連絡対応をお願いしております"
122220,129260,"その他にも 親属向けのイベント といったところを定期的に開催"
129260,135540,"してまして そこの会場の予約から 実演でしたり 当日の受付だった"
135540,142860,"りとか 参加者の方のアテンド業務 といったところもお願いしております"
142860,148960,"中途採用の業務に関しては 先ほど 同じ応募者の方の移転の調整でした"
148960,155800,"りとか 防止通知だったりとかの 連絡でしたりとか あとは中途採用"
155800,165560,"転職の最得な人材会社の方と調整 したりというところもありますので"
165560,170840,"そこの人材会社の方との対応でしたり とか あとは入社の受入れ準備"
170840,175080,"行ってたところで 入社書類の準備 でしたりとか そういった書類の"
175080,178560,"作成だったりとかも併せてお願い するような形になります"
178560,186520,"主な業務は今お伝えしたようなもの になるんですけれども 併せて電話"
186520,192520,"の対応でしたりとか あとはイベント が発生したときとかの経費生産"
192520,198680,"だったりとかの業務も併せてお願い するような形になります"
198680,202800,"まず簡単に業務の内容をご説明 以上になりまして この後ご条件名"
202800,208820,"のご説明になりますが 今までで 何かご振り返ってご質問等ございますか"
208820,215320,"はい ありがとうございます ご条件名に関しましては勤務費が"
215320,221920,"新宿駅からとこの7分の場所にございまして お手環境が2000円の交通費最安"
221920,228960,"系統での上限定期代で全額お支払い になっております 勤務の要べは"
228960,235320,"月曜から金曜の週5日勤務土日祝日 がお休みになっておりまして 勤務"
235320,243520,"のお時間は9時から18時までの 律動8時間休憩1時間になっております"
243520,249280,"残業に関しては月に5時間から10時間 程度と比較的少なめではあるんです"
249280,253040,"けれども このあたりお時間等 特に問題なさそうですか"
253040,260440,"はい ありがとうございます 今回こちらのお仕事 即日から開始"
260440,264800,"の長期のお仕事になりまして お仕事の解析防具はマイページ"
264800,268600,"で入れていただいている5月の8日 以降からのご希望でよろしかった"
268600,269600,"ですか"
269600,276080,"はい ありがとうございます 今回こちらのお仕事 エクセルを使った"
276080,281280,"場面を使うような形になっており まして エクセルの関数のあたり"
281280,285560,"で カウントイフでしたりとか ウイルク アップの使用経験がある"
285560,288760,"方で今回ご使用させていただいて いるんですけれども"
288760,290400,"業務"
290400,297600,"業務でしたりとか何か使ったご使用 経験などあればお伺いできれば"
297600,302480,"と思うんですが そのあたりエクセル だったりとかいかがですか"
302480,306280,"別の経験がないとダメですか"
306280,309080,"すみません もう一度お伺いしてもよろしいですか"
309080,314080,"実務経験あるのかたのみのご使用 でしたか"
314080,318800,"そうですね 今回応募の条件のところ でエクセルのカウントイフ ウイルク"
318800,322560,"アップの使用経験がある方で今回 ご使用させていただいておりまして"
322560,328080,"そうなったんですけど ごめんなさい 実務経験がなかったので"
328080,331640,"すみません 実務じゃなくても何か学校でしたり"
331640,337080,"とか プラネットとかで使ったこと があるご経験があれば 特に実務"
337080,339960,"経験じゃなくても 問題ないんですけども そのあたりとか"
339960,340960,"エクセルいかがですか"
340960,350880,"それがあるんですよな 今まで 工事大丈夫ならもう大丈夫なんですけど"
350880,353920,"どのあたりまでクランス使った ことはございますか"
