start,end,text
0,8000,"お済みになっております。私、岡山ゲートの吉野と申します。"
8000,12000,"岡山のお電話でお間違いないでしょうか。"
12000,13000,"はい、そうです。"
13000,17000,"ありがとうございます。すみません、先ほどお理解いただきましてありがとうございました。"
17000,22000,"今回、お仕事を応募いただいたものをご紹介できればと思ってのご連絡です。"
22000,26000,"今、時間10分から15分ほどいただいてもよろしいですか。"
26000,27000,"はい、大丈夫です。"
27000,28000,"ありがとうございます。"
28000,35000,"後ほどお仕事の詳細はネイルでもお送りさせていただきますので、あわせてご確認いただければと思います。"
35000,36000,"はい、わかりました。"
36000,40000,"今回、お仕事を複数ご応募いただいているかと思うんですけれども。"
40000,41000,"そうですね。"
41000,51000,"その中で、経験者の方でしたりとか、スケール名のところで先に進まれている方がいるような案件もいくつか含まれておりまして、"
51000,57000,"比較的進めやすそうなものをピックアップしてご紹介させていただくような形でもよろしいですか。"
57000,58000,"はい、わかりました。"
58000,59000,"ありがとうございます。"
59000,63000,"後ほどお仕事のメールでも詳細をお送りさせていただければと思います。"
63000,64000,"はい。"
64000,67000,"後ほどご紹介できればと思うんですけれども。"
67000,68000,"はい。"
68000,74000,"1つ目のお仕事が会社付き会社、RAXという会社さんまでのお仕事でして、"
74000,84000,"よくテレビCMとかで、ラクラク販売とか、ラクラク生産とか、横川夏子さんとかが出てるCMやそういうような会社さんなんですけれども、"
84000,86000,"ご存じわかりとかされますか。"
86000,88000,"はい、見たことはあります。"
88000,90000,"ありがとうございます。"
90000,97000,"企業向けのそういった社内のシステムの運用を販売していらっしゃる会社様になりまして、"
97000,102000,"今回は職員の会社さんまでの事務のお仕事をお願いしております。"
102000,110000,"業務の内容に関しましては、社内のデータの集計というところをお願いしておりまして、"
110000,122000,"売り上げのデータの管理でしたりとか、クラウドシステムがどんな会社様でどれぐらい使われているかというところのデータ集計をお願いしております。"
122000,128000,"基本的には、Excelのスイートにデータの入力を貼り付けしていただいたりですとか、"
128000,133000,"入力したものに漏れがないかというところのダブルチェックをお願いしております。"
133000,143000,"その他、社内にかかってきた電話の取り継ぎ対応でしたりとか、事務のサポート業務だったりとかをお願いするような形になります。"
143000,144000,"わかりました。"
144000,153000,"簡単に業務の内容をご説明以上になりまして、この後ご条件名のご説明になりますが、ここまでで何かごふめてご質問でございますか?"
153000,155000,"特にはないです。"
155000,157000,"ありがとうございます。"
157000,164000,"ご条件名に関しては、勤務手が新宿駅から徒歩4分の場所にございまして、"
164000,173000,"お時間給が1850円で、交通費は最安ケロルの上限定期代で全額お支払いさせていただいております。"
173000,183000,"勤務の曜日に関しては、月曜から金曜日の週5日勤務、第一祝日がお休みの仕事になっておりまして、"
183000,190000,"勤務のお時間は9時から18時までの実動8時間、休憩1時間になっております。"
190000,196000,"残業に関しては基本的にはないといったご認識でいただければと思います。"
196000,198000,"わかりました。"
198000,207000,"今回こちらのお仕事、5月16日からが開始のお仕事になっておりまして、もしくは6月開始もご相談可能になりますが、"
207000,215000,"今回のお仕事の開始期限はマイページでいただいている5月12日から16日開始からで問題なさそうですか?"
215000,217000,"そうですね。大丈夫です。"
217000,219000,"はい、ありがとうございます。"
219000,225000,"今回こちらのお仕事はExcelを使った業務になりますので、Excelの基本操作だったりとか、"
225000,229000,"何か今までのお仕事でご経験があったりされますか?"
229000,242000,"そうですね。簡単なExcelの入力だったり、表彰作成にはなるんですけども、福祉分野でお仕事をさせていただいたときに、"
242000,254000,"支援サービスと傍らに事務作業のほうでExcelのほうを使っていたので、問題はないかなというふうに思っているんですけども。"
254000,256000,"ありがとうございます。"
256000,265000,"はい、いただいたお仕事全体のご説明は以上になるんですけども、一つ目のお仕事に関して何かご不明点、ご質問とかございますか?"
265000,274000,"そうですね。作業自体はExcelと電話機関だと思うんですけども、"
274000,287000,"パソコンの業務で簡単なタイピングだったり、Excelの入力、表彰作成だったり、グラフ作成等ができれば問題はないですかね?"
287000,296000,"そうですね。基本的なPCの操作でしたりとか、Excelの操作ができている、特段今回の状態は問題ないかなというところでございます。"
296000,298000,"わかりました。ありがとうございます。"
298000,300000,"他は大丈夫そうですか?"
300000,301000,"はい、大丈夫です。"
301000,312000,"それでは二つ目のお仕事なんですけれども、こちらは会社様が株式会社Future Corporationという会社様でございまして、"
312000,326000,"不動産グループの結構大手の会社様になるんですけども、今回はこちらの会社様でのマンションの管理部門というところで事務のお仕事になっておりまして、"
326000,338000,"マンションの契約されたお客様でしたりとか、お取引先の企業様との電話対応をお願いしているお仕事になっております。"
338000,351000,"電話対応のお話しする内容に関しては、マンション契約された方に関しては、契約者向けのウェブのお手続きページのご案内でしたりとか、"
351000,357000,"その契約に基づいて各種イベントのご案内だったりしていただいております。"
357000,369000,"お取引先様に関しては、銀行の担当者の方からでしたりとか、そういった方からの取り継ぎがメインになるかなといった形になっております。"
369000,383000,"電話対応がメインにはなりますが、それと付随して事務のお仕事もお願いしておりまして、お客様向けの書類の作成を社内のシステムに入力していただいたりとか、"
383000,390000,"その作ってもらった書類を封入・発送の支配していただいたりというところも併せてお願いしております。"
390000,400000,"簡単に業務の内容をご説明になりまして、この中の条件面もご説明になりますが、ここら辺で何かお踏みの質問とございますか。"
