start,end,text
0,8000,"お済みになっております。私、ロサマゲートの吉野と申します。"
8000,9000,"はい。"
9000,12000,"黒田様のお電話でお間違いないでしょうか。"
12000,13000,"はい、そうです。"
13000,16000,"ありがとうございます。すみません、先ほどお理解いただきましてありがとうございました。"
16000,17000,"はい。"
17000,22000,"今回、お仕事を応募いただいたものをご紹介できればと思ってのご連絡です。"
22000,23000,"はい。"
23000,26000,"今、時間10分から15分ほどいただいてもよろしいですか。"
26000,27000,"はい、大丈夫です。"
27000,28000,"ありがとうございます。"
28000,32000,"後ほどお仕事の詳細をメールでもお送りさせていただきますので、"
32000,35000,"あわせてご確認いただければと思います。"
35000,36000,"はい、わかりました。"
36000,40000,"今回、お仕事を結構複数ご応募いただいているかと思うんですけれども。"
40000,41000,"そうですね。"
41000,51000,"その中で、経験者の方でしたりとか、スケール名のところで先に進まれている方がいるような案件もいくつか含まれておりまして、"
51000,57000,"比較的進めやすそうなものをピックアップしてご紹介させていただくような形でもよろしいですか。"
57000,58000,"はい、わかりました。"
58000,59000,"ありがとうございます。"
59000,63000,"後ほどお仕事の詳細をメールでもお送りさせていただければと思います。"
63000,64000,"はい。"
64000,67000,"後ほどご紹介できればと思うんですけれども。"
67000,68000,"はい。"
68000,74000,"1つ目のお仕事が、家族会社ラックスという会社さんまでのお仕事でして、"
74000,75000,"はい。"
75000,84000,"よくテレビCMとかでラクラク販売とか、ラクラクシェイさんとか、横川夏子さんとかが出てるCMやそういうような会社さんなんですけれども、"
84000,86000,"ご存知はされますか。"
86000,88000,"はい、見たことはあります。"
88000,89000,"ありがとうございます。"
89000,90000,"はい。"
90000,96000,"企業向けのそういった社内のシステムの運用を販売していらっしゃる会社様になりまして、"
96000,97000,"はい。"
97000,101000,"今回は職員の会社さんまでの事務のお仕事をお願いしております。"
101000,102000,"はい。"
102000,110000,"業務の内容に関しましては、社内のデータの集計というところをお願いしておりまして、"
110000,122000,"売り上げのデータの管理でしたりとか、そういったクラウドシステムがどんな会社様でどれぐらい使われているかというところのデータ集計をお願いしております。"
122000,123000,"はい。"
123000,129000,"基本的にはExcelのスイートにデータの入力を貼り付けしていただいたりですとか、"
129000,133000,"入力したものに漏れがないかというところのダブルチェックをお願いしております。"
133000,134000,"はい。"
134000,143000,"その他、社内にかかってきた電話の取り継ぎ対応でしたりとか、あとは事務のサポート業務だったりとかをお願いするような形になります。"
143000,144000,"わかりました。"
144000,145000,"はい。"
145000,154000,"まずは簡単に業務の内容をご説明以上になりまして、この後ご条件名のご説明になりますが、ここまでで何かご踏めてご質問とございますか?"
154000,155000,"特にはないです。"
155000,157000,"はい。ありがとうございます。"
157000,167000,"ご条件名に関しては、勤務ってが新宿駅から徒歩4分の場所にございまして、お時間が1850円で、"
167000,172000,"交通費は最安けどでの上限定期代で全額お支払いさせていただいております。"
172000,173000,"はい。"
173000,182000,"勤務の曜日に関しては、月曜から金曜日の週5日勤務、第一祝日がお休みの仕事になっておりまして、"
182000,189000,"勤務のお時間は9時から18時までの実動8時間、休憩1時間になっております。"
189000,190000,"はい。"
190000,195000,"残業に関しては基本的にはないといったご認識でいただければと思います。"
195000,197000,"はい。わかりました。"
197000,207000,"今回こちらのお仕事、5月16日からが開始のお仕事になっておりまして、もしくは6月開始もご相談可能になりますが、"
207000,215000,"今回お仕事の開始期限はマイページでいただいている5月12日から16日開始からで問題なさそうですか?"
215000,217000,"そうですね。大丈夫です。"
217000,218000,"はい。ありがとうございます。"
218000,222000,"そして、今回こちらのお仕事はエクセルを使った業務になりますので、"
222000,229000,"エクセルの基本操作だったりとか、何か今までのお仕事でご経験があったりされますか?"
229000,243000,"そうですね。簡単なエクセルの入力だったり評価作成にはなるんですけども、福祉分野でお仕事をさせていただいたときに、"
243000,254000,"支援サービスと傍らに事務作業のほうでエクセルのほうを使っていたので、問題はないかなというふうには思っているんですけども。"
254000,256000,"ありがとうございます。"
256000,260000,"はい。いただいたお仕事全体のご説明は以上になるんですけども、"
260000,265000,"一つ目のお仕事に関して何かご不明点、ご質問とかございますか?"
265000,274000,"そうですね。作業自体はエクセルと電話とかだとは思うんですけども、"
274000,287000,"パソコンの業務で簡単なタイピングだったり、エクセルの入力、表作成だったり、グラフ作成ができれば問題はないですかね?"
287000,296000,"そうですね。基本的なPCの操作でしたりとか、エクセルの操作ができている、特段今回の状態は問題ないかなというところでございます。"
296000,298000,"分かりました。ありがとうございます。"
298000,300000,"他は大丈夫そうですか?"
300000,301000,"はい。大丈夫です。"
301000,303000,"はい。ありがとうございます。"
303000,307000,"そしたら二つ目のお仕事なんですけれども、こちらは会社様が、"
307000,313000,"カブシティ会社フーザースコーポレーションという会社様でございまして、"
313000,318000,"不動産グループの結構大手の会社様になるんですけども、"
318000,328000,"今回はこちらの会社様でのマンションの管理部門というところで事務のお仕事になっておりまして、"
328000,338000,"ここでマンションの契約されたお客様でしたりとか、お取引先の企業様との電話対応をお願いしているお仕事になっております。"
338000,346000,"電話対応のお話しする内容に関しては、マンション契約された方に関しては、"
346000,351000,"契約者向けのウェブのお手続きページのご案内でしたりとか、"
351000,358000,"その契約に基づいて各種イベントのご案内だったりしていただいております。"
358000,363000,"お取引先様に関しては、銀行の担当者の方からでしたりとか、"
